,location,name,gu,위도,경도
0,서울특별시 중구 삼일대로 231,남산도시자연공원,중구,37.5555891,126.9922104
1,서울특별시 강동구 천호대로 1291,길동생태공원,강동구,37.5389424,127.1533138
2,서울특별시 성동구 뚝섬로 273,서울숲,성동구,37.54316439999999,127.0418547
3,서울특별시 마포구 하늘공원로 84,월드컵공원,마포구,37.5359236,126.8411995
4,서울특별시 종로구 세종로 76-2,광화문시민열린마당,종로구,37.575117,126.9783318
5,서울특별시 은평구 진관동 393,진관근린공원(구파발폭포),은평구,37.6370384,126.9190706
6,서울특별시 영등포구 영등포동2가 222,중마루근린공원,영등포구,37.519757,126.9113472
7,서울특별시 성동구 금호동1가 산1-72,응봉공원,성동구,37.5572222,127.0216667
8,서울특별시 강서구 등촌동 630-14,매화근린공원,강서구,37.5575192,126.8609058
9,서울특별시 성동구 성수동2가 302-25,성수근린공원,성동구,37.5447682,127.0524523
10,서울특별시 강동구 명일1동 288,샛마을근린공원,강동구,37.5501058,127.1470989
11,서울특별시 영등포구 여의공원로 68,여의도근린공원,영등포구,37.5268082,126.9223229
12,서울특별시 동대문구 서울시립대로2길 59,간데메근린공원,동대문구,37.5727425,127.0490493
13,서울특별시 중구 을지로 227,훈련원근린공원,중구,37.5672983,127.0037006
14,서울특별시 영등포구 신길로 275,영등포근린공원,영등포구,37.5157786,126.9122002
15,서울특별시 동작구 여의대방로20길 33,보라매근린공원,동작구,37.4932342,126.9197115
16,서울특별시 광진구 능동로 216,어린이대공원,광진구,37.549363,127.0818126
17,서울특별시 강동구 올림픽로 702,천호근린공원,강동구,37.5443685,127.126709
18,서울특별시 용산구 서빙고로 185,용산가족공원,용산구,37.5199816,126.9850321
19,서울특별시 서대문구 통일로251,독립근린공원,서대문구,37.5743009,126.9559178
20,서울특별시 종로구 낙산길 41,낙산근린공원,종로구,37.5807709,127.0064081
21,서울특별시 서초구 매헌로 99,양재시민의숲,서초구,37.4712172,127.0367358
22,서울특별시 관악구 관악로 1,관악산도시자연공원,관악구,37.4602626,126.9535979
23,서울특별시 용산구 효창원로 177-18,효창근린공원,용산구,37.5447965,126.9626631
24,서울특별시 금천구 독산4동 373,감로천생태공원(관악산),금천구,37.4696067,126.9079205
25,서울특별시 성북구 북악산로 949-73,개운산근린공원,성북구,37.5973328,127.0282679
26,서울특별시 구로구 오류동 산13-1,개웅산근린공원,구로구,37.492978,126.8478724
27,서울특별시 종로구 새문안로 55,경희궁,종로구,37.5700566,126.9705312
28,서울특별시 동작구 사당2동 산41-2,국립현충원,동작구,0.0,0.0
29,서울특별시 양천구 신정동 산44-2,계남근린공원,양천구,37.514424,126.852556
30,서울특별시 구로구 고척로45길 39,고척근린공원,구로구,37.50590090000001,126.8531819
31,서울특별시 양천구 목동동로 363 ,파리근린공원,양천구,37.5344362,126.8771392
32,서울특별시 강서구 허준로5길 42,허준공원,강서구,37.5688397,126.851018
33,서울특별시 서대문구 성산로7길 19-24,궁동근린공원,서대문구,37.5686173,126.9195847
34,서울특별시 강서구 가양동 산4-7,궁산근린공원,강서구,37.5740831,126.8408516
35,서울특별시 동작구 사당동 산32,까치산근린공원,동작구,37.483961,126.9641233
36,서울특별시 강서구 방화동 산110,꿩고개근린공원,강서구,37.5799202,126.8159186
37,서울특별시 동작구 여의대방로 15-45,노량진공원,동작구,37.5051835,126.9231383
38,서울특별시 동대문구 답십리로 209,답십리근린공원,동대문구,37.5730939,127.0638227
39,서울특별시 강남구 광평로10길 30-71,대모산도시자연공원,강남구,37.4774118,127.0749332
40,서울특별시 종로구 종로 99,탑골근린공원,종로구,37.5705544,126.9884101
41,서울특별시 양천구 신정동 162-56,갈산근린공원,양천구,37.5211399,126.8736653
42,서울특별시 송파구 마천동 산 1-1,천마근린공원,송파구,37.5022427,127.1580228
43,서울특별시 강남구 도곡동 산31-1,도곡근린공원,강남구,37.4896541,127.0441138
44,서울특별시 강남구 도산대로45길 20,도산근린공원,강남구,37.5239121,127.0355914
45,서울특별시 성북구 화랑로18가길 50,청량공원,성북구,37.6009129,127.0505504
46,서울특별시 도봉구 창동 산157,초안산근린공원,도봉구,37.6478806,127.0455844
47,서울특별시 강동구 고덕2동 229,동명근린공원,강동구,37.5613177,127.1610846
48,서울특별시 종로구 대학로8길 1,마로니에공원,종로구,37.58096159999999,127.002409
49,서울특별시 영등포구 의사당대로 166,자매근린공원,영등포구,37.5171105,126.9304634
50,서울특별시 송파구 장지동 산 11,장지근린공원,송파구,37.489922,127.1363501
51,서울특별시 강동구 상일동 135,명일근린공원,강동구,37.5517031,127.1645763
52,서울특별시 강서구 금낭화로 176,방화근린공원,강서구,37.5808905,126.8141076
53,서울특별시 송파구 올림픽로 44 (잠실동),아시아근린공원,송파구,37.5079172,127.0847942
54,서울특별시 동대문구 한천로43길 12-14,배봉산근린공원,동대문구,37.5794335,127.0658492
55,서울특별시 서대문구 홍제동 산33-98,안산도시자연공원,서대문구,37.5814296,126.9455471
56,서울특별시 강서구 염창동 산24-1,염창근린공원,강서구,37.5577916,126.8689974
57,서울특별시 서대문구 통일로 507-22 ,백련근린공원,서대문구,37.5933599,126.9404871
58,서울특별시 송파구 오금로 363,오금근린공원,송파구,37.5010097,127.134043
59,서울특별시 강북구 번동 산20-1,오동근린공원,강북구,37.62919249999999,127.0333127
60,서울특별시 은평구 구산동 산61,봉산도시자연공원,은평구,37.6088463,126.9021875
61,서울특별시 구로구 개봉동 산2-60,온수도시자연공원,구로구,37.5008082,126.8378755
62,서울특별시 강남구 삼성동 75,봉은공원,강남구,37.5138721,127.0554775
63,서울특별시 송파구 올림픽로 424,올림픽공원,송파구,37.5217853,127.1165203
64,서울특별시 종로구 와룡공원길 192,와룡근린공원,종로구,37.5897312,126.9871209
65,서울특별시 중랑구 묵동 산46-1,봉화산근린공원,중랑구,37.6098232,127.0840656
66,서울특별시 종로구 부암동 산2-6,북악산도시자연공원,종로구,37.59952699999999,126.9738816
67,서울특별시 마포구 양화진길 46,외국인묘지공원,마포구,37.5464592,126.9115418
68,서울특별시 은평구 불광동 산33-1,불광근린공원,은평구,37.6209859,126.9308551
69,서울특별시 노원구 한글비석로12길 51-33,불암산도시자연공원,노원구,37.65679,127.0827308
70,서울특별시 중랑구 면목동 산1-4 ,용마폭포공원,중랑구,37.5733026,127.0891138
71,서울특별시 동작구 노량진로 191,사육신공원,동작구,37.5136948,126.9488514
72,서울특별시 양천구 목동 199-51,용왕산근린공원,양천구,37.5416213,126.8750829
73,서울특별시 종로구 사직로9길 5,사직근린공원,종로구,37.5760163,126.9679914
74,서울특별시 강서구 내발산동 산4-5,우장산근린공원,강서구,37.5562039,126.8440543
75,서울특별시 동작구 사당동 산24-17,삼일근린공원,동작구,37.4862768,126.9739412
76,서울특별시 종로구 북촌로 134-1,삼청근린공원,종로구,37.5893704,126.9803132
77,서울특별시 종로구 옥인동 산 3-1 ,인왕산도시자연공원,종로구,37.5842122,126.9638849
78,서울특별시 동작구 성대로6사길 27-6,상도근린공원,동작구,37.4940738,126.9375793
79,서울특별시 강동구 동남로 660,일자산도시자연공원,강동구,37.5330568,127.151191
80,서울특별시 도봉구 쌍문동 산80,쌍문근린공원,도봉구,37.6535695,127.028781
81,서울특별시 노원구 상계동 산3-1,수락산도시자연공원,노원구,37.6915702,127.0655792
82,서울특별시 송파구 잠실로 148,송파나루근린공원(석촌호수),송파구,37.5092404,127.0991543
83,서울특별시 영등포구 선유로 343,선유도근린공원,영등포구,37.543569,126.8997156
84,서울특별시 중구 손기정로 101 ,손기정체육공원,중구,37.5556652,126.9645497
85,서울특별시 성북구 돈암동 616-1055,성북근린공원,성북구,37.5928432,127.0100795
86,서울특별시 강서구 화곡동 산41-6,봉제산공원,강서구,37.5419721,126.8510635
87,서울특별시 도봉구 마들로 916,서울창포원,도봉구,37.6892727,127.0475814
88,서울특별시 강북구 월계로 173,북서울꿈의숲,강북구,37.6214312,127.0406246
89,서울특별시 양천구 남부순환로64길 20,서서울호수공원,양천구,37.5303487,126.8267642
90,서울특별시 중랑구 송림길 160,중랑캠핑숲,중랑구,37.6029546,127.1020393
91,서울특별시 강남구 율현동 밤고개로24길,율현공원,강남구,37.4716229,127.1047603
92,서울특별시 금천구 독산동 산118-4,금천체육공원(관악산),금천구,37.468276,126.908522
93,서울특별시 금천구 시흥대로38길 61,금천폭포근린공원,금천구,37.44696,126.9039552
94,서울특별시 금천구 독산동 산8,만수천공원(관악산),금천구,37.4748437,126.9095932
95,서울특별시 도봉구 시루봉로6길 33,발바닥공원,도봉구,37.65967819999999,127.0296263
96,서울특별시 동대문구 용두동 34-1,용두근린공원,동대문구,37.5731343,127.0404611
97,서울특별시 서초구 바우뫼로12길 40,문화예술공원,서초구,37.4677882,127.0308279
98,서울특별시 종로구 세종대로 189,세종로공원,종로구,37.573361,126.9758539
99,서울특별시 관악구 대학동 산63-1,샘말공원(관악산),관악구,37.4646422,126.9383057
100,서울특별시 도봉구 창동 산24,초안산생태공원,도봉구,37.6503744,127.040998
101,서울특별시 구로구 연동로 240,푸른수목원,구로구,37.4819871,126.8236747
102,서울특별시 서초구 원지동 산 33,청계산도시자연공원,서초구,37.4425567,127.0540603
103,서울특별시 강서구 개화동 산17,개화근린공원,강서구,37.5642062,126.8073091
104,서울특별시 광진구 광장동 370,아차산생태공원,광진구,37.55145359999999,127.1008092
105,서울특별시 서초구 내곡동 산12-404,인능산도시자연공원,서초구,37.4485578,127.066645
106,서울특별시 서초구 염곡동 산25-1,구룡산,서초구,37.4666589,127.0566235
107,서울특별시 서초구 우면동 산35-1,우면산도시자연공원,서초구,37.4699439,127.0092618
108,서울특별시 은평구 진관동 산55,향림근린공원,은평구,37.62941,126.921789
109,서울특별시 은평구 신사동 산80-4,신사근린공원,은평구,37.5918604,126.909889
110,서울특별시 중구 통일로 1,문화역 서울284,중구,37.5560186,126.9721029
111,서울특별시 강남구 수서동 산10-1,광평근린공원,강남구,37.4858512,127.0921442
112,서울특별시 강남구 청담동 66,청담근린공원,강남구,37.5213972,127.0519368
113,서울특별시 강동구 둔촌동 산94,허브천문공원,강동구,37.5375758,127.1542379
114,서울특별시 은평구 통일로 849,연신내물빛공원,은평구,37.6188881,126.920832
115,서울특별시 중구 망우동 산 30-7,나들이근린공원,중랑구,37.60471769999999,127.1124474
116,서울특별시 종로구 숭인동 58,숭인근린공원,종로구,37.5774818,127.0182146
117,서울특별시 중랑구 면목동 산19,서일대뒷산공원,중랑구,37.5875046,127.09906
118,서울특별시 중랑구 면목7동 산50 ,용마도시자연공원(사가정공원),중랑구,37.5801465,127.095263
119,서울특별시 마포구 증산로 87,문화비축기지,마포구,37.5709869,126.894132
120,서울특별시 노원구 공릉2동 산 82-2,경춘선숲길,노원구,37.6270567,127.0765879
121,서울특별시 강남구 율현동 밤고개로24길,율현공원,강남구,37.4716229,127.1047603
122,서울특별시 중구 망우동 산 30-7,나들이근린공원,중랑구,37.60471769999999,127.1124474
123,서울특별시 종로구 숭인동 58,숭인근린공원,종로구,37.5774818,127.0182146
124,서울특별시 중랑구 면목동 산19,서일대뒷산공원,중랑구,37.5875046,127.09906
125,서울특별시 중랑구 면목7동 산50 ,용마도시자연공원(사가정공원),중랑구,37.5801465,127.095263
126,서울특별시 마포구 증산로 87,문화비축기지,마포구,37.5709869,126.894132
127,서울특별시 노원구 공릉2동 산 82-2,경춘선숲길,노원구,37.6270567,127.0765879
